id_estudiante,seccion,horas_estudio_semana,asistencia_pct,tareas_entregadas,promedio_quices,nota_proyecto,participacion_clase,uso_plataforma_min_semana,tutorias_asistidas,promedio_prev,nota_final,aprobado
A-001,A,5.6,73.2,10,69.1,86.7,8,87,5,71.7,62.5,0
A-002,A,1.9,93.9,8,75.2,61.5,8,139,1,76.2,52.5,0
A-003,A,9.8,80.1,8,68.3,70.6,7,261,3,74.6,65.3,0
A-004,A,10.2,92.5,8,71.6,61.8,8,117,3,80.2,68.6,0
A-005,A,7.1,88.3,10,76.0,60.8,9,42,0,70.5,61.8,0
A-006,A,9.1,84.1,9,89.0,75.3,8,257,4,66.5,74.1,1
A-007,A,13.1,91.7,5,72.1,75.8,6,158,5,92.0,82.6,1
A-008,A,11.2,81.5,7,82.6,57.6,10,95,0,80.6,70.1,1
A-009,A,10.1,92.5,7,60.3,99.9,5,86,3,81.7,71.5,1
A-010,A,10.1,73.4,9,71.7,92.5,7,208,1,95.0,75.1,1
A-011,A,5.4,78.0,6,90.5,64.4,10,87,4,73.4,60.2,0
A-012,A,10.9,93.7,8,79.3,79.6,10,47,4,71.1,72.9,1
A-013,A,3.1,67.1,8,53.4,76.6,10,212,2,76.9,53.3,0
A-014,A,7.0,87.8,10,74.8,67.5,6,184,2,63.0,61.3,0
A-015,A,6.7,80.7,3,72.2,59.9,4,210,5,63.6,65.0,0
A-016,A,2.8,79.6,7,60.9,74.9,6,129,2,62.5,59.5,0
A-017,A,7.7,78.4,8,54.0,72.7,7,196,4,79.1,66.9,0
A-018,A,12.9,94.3,9,63.7,88.5,7,99,0,57.0,77.1,1
A-019,A,7.0,71.7,7,62.3,76.6,5,142,0,73.4,64.4,0
A-020,A,4.4,90.7,6,83.7,63.1,6,181,4,71.5,68.7,0
A-021,A,7.7,87.8,9,82.1,66.8,7,186,3,87.9,78.2,1
A-022,A,10.6,80.6,8,82.8,74.5,7,248,2,69.0,77.8,1
A-023,A,8.6,83.3,6,88.1,85.9,9,227,0,82.2,76.1,1
A-024,A,8.0,89.7,5,49.0,61.3,8,107,2,81.2,56.3,0
A-025,A,3.8,79.2,8,71.8,77.7,8,133,0,80.3,47.5,0
A-026,A,9.5,71.8,6,79.2,89.8,6,225,2,87.7,65.7,0
A-027,A,9.5,86.3,8,67.1,58.2,7,266,3,54.9,71.5,1
A-028,A,12.0,77.2,10,67.6,91.2,4,213,2,77.2,71.8,1
A-029,A,12.5,80.7,8,65.6,68.5,6,150,0,69.3,68.0,0
A-030,A,10.1,84.4,8,77.2,74.3,4,196,0,69.2,67.1,0
A-031,A,3.1,89.9,8,74.5,68.8,7,261,1,86.2,60.0,0
A-032,A,3.7,98.5,10,89.9,79.2,8,276,0,67.2,60.7,0
A-033,A,4.7,86.7,10,79.9,80.7,7,140,3,66.1,65.2,0
A-034,A,8.9,84.9,7,77.7,81.1,10,112,1,85.2,76.1,1
A-035,A,5.6,90.6,9,74.9,100.0,6,184,1,52.9,67.5,0
A-036,A,11.9,86.3,7,65.7,46.5,7,138,1,86.5,70.5,1
A-037,A,8.7,70.5,6,76.6,69.3,6,181,1,62.1,60.1,0
A-038,A,9.1,79.2,9,85.0,59.9,6,119,4,91.8,81.0,1
A-039,A,10.3,74.1,7,80.8,72.7,9,203,1,65.2,78.3,1
A-040,A,9.0,89.6,6,62.4,67.0,5,217,0,78.9,58.0,0
A-041,A,3.8,94.2,5,57.0,72.2,10,284,4,76.2,59.3,0
A-042,A,15.4,86.8,9,83.6,74.8,9,270,1,74.2,84.1,1
A-043,A,12.4,75.7,6,77.5,68.4,8,197,4,78.5,79.5,1
A-044,A,12.6,90.4,5,78.7,85.9,6,119,3,73.0,75.3,1
A-045,A,5.8,76.3,7,64.9,58.3,7,241,1,84.4,57.6,0
A-046,A,2.5,86.0,9,84.1,69.2,6,135,2,79.6,67.5,0
A-047,A,3.5,74.4,4,83.9,75.6,10,81,0,55.2,53.2,0
A-048,A,4.8,72.9,8,72.2,91.0,5,159,0,46.0,49.9,0
A-049,A,10.6,72.8,8,82.1,60.0,5,85,4,95.0,73.0,1
A-050,A,10.7,84.1,5,64.3,61.2,7,309,1,49.7,63.9,0
A-051,A,12.4,78.7,5,74.2,81.4,3,253,2,73.7,77.5,1
A-052,A,14.4,87.5,7,51.2,76.3,10,271,1,66.7,69.1,0
A-053,A,9.6,73.6,10,71.8,59.0,6,144,2,66.3,67.8,0
A-054,A,9.1,87.9,7,100.0,88.6,8,165,2,63.7,74.6,1
A-055,A,6.9,79.0,9,83.8,78.4,7,188,2,94.2,76.6,1
A-056,A,7.0,94.0,9,96.0,71.7,4,144,2,82.7,69.7,0
A-057,A,4.5,92.2,4,82.4,71.7,7,175,4,61.6,63.6,0
A-058,A,9.5,82.3,7,78.3,76.6,8,203,1,79.8,74.7,1
A-059,A,9.0,84.9,9,78.2,71.4,5,123,2,74.8,60.7,0
A-060,A,6.8,85.9,6,70.7,79.2,5,169,2,93.1,61.1,0
