id_estudiante,seccion,horas_estudio_semana,asistencia_pct,tareas_entregadas,promedio_quices,nota_proyecto,participacion_clase,uso_plataforma_min_semana,tutorias_asistidas,promedio_prev,nota_final,aprobado
B-001,B,10.9,92.3,10,66.8,77.0,7,250,3,82.5,85.4,1
B-002,B,15.5,74.6,10,68.2,53.9,7,53,5,67.7,87.9,1
B-003,B,11.9,75.7,10,68.0,86.6,10,207,2,47.6,75.7,1
B-004,B,5.8,81.7,5,85.5,91.8,7,259,2,84.1,73.4,1
B-005,B,7.2,77.3,7,59.0,88.7,9,201,2,75.9,73.2,1
B-006,B,11.6,81.1,9,87.4,87.8,7,191,4,45.0,86.4,1
B-007,B,8.9,75.8,6,79.3,55.3,5,72,3,77.6,70.9,1
B-008,B,12.6,88.7,8,55.3,67.6,8,302,1,76.0,77.4,1
B-009,B,3.2,84.1,9,80.4,78.3,7,235,1,71.5,54.5,0
B-010,B,15.3,81.0,10,81.9,79.0,7,174,3,80.2,93.4,1
B-011,B,14.7,63.1,8,68.3,76.9,3,165,0,65.8,73.1,1
B-012,B,4.7,75.8,7,94.7,63.1,8,258,3,81.9,56.8,0
B-013,B,8.1,81.9,6,63.7,69.6,7,287,1,64.4,55.0,0
B-014,B,7.2,87.3,6,68.7,73.0,8,186,4,72.8,62.7,0
B-015,B,7.9,76.2,7,75.8,87.1,8,107,3,68.7,64.7,0
B-016,B,12.0,86.5,7,79.4,100.0,10,236,3,72.1,77.8,1
B-017,B,7.5,88.5,8,71.2,59.7,7,151,2,69.1,59.4,0
B-018,B,6.3,76.6,7,84.3,77.7,7,191,4,60.3,60.3,0
B-019,B,11.3,87.6,6,66.0,66.7,9,181,2,73.4,72.9,1
B-020,B,13.2,80.1,9,79.5,87.1,9,124,4,67.4,85.8,1
B-021,B,7.8,72.5,6,71.6,79.4,8,290,0,73.6,59.0,0
B-022,B,10.1,81.2,8,73.6,81.7,7,115,3,56.4,73.1,1
B-023,B,4.8,92.3,8,61.5,77.8,7,299,1,78.9,56.9,0
B-024,B,12.2,84.8,6,71.9,69.5,6,141,5,57.1,63.2,0
B-025,B,16.2,81.8,7,55.0,69.1,6,186,3,57.2,77.9,1
B-026,B,11.1,88.4,7,55.9,73.6,9,202,3,64.1,70.3,1
B-027,B,9.1,87.4,6,71.2,86.8,7,231,1,81.6,65.0,0
B-028,B,3.0,83.2,4,82.9,98.4,8,133,2,71.5,55.1,0
B-029,B,8.3,66.5,10,60.8,88.1,6,330,0,69.6,69.9,0
B-030,B,2.9,60.9,6,78.7,74.5,9,193,1,74.4,58.5,0
B-031,B,11.6,68.2,6,99.8,94.1,7,320,4,63.8,77.5,1
B-032,B,14.7,94.9,6,79.7,80.7,10,267,0,71.0,81.3,1
B-033,B,13.5,87.1,7,80.4,77.5,8,206,3,77.6,87.8,1
B-034,B,9.8,68.7,8,71.3,77.8,8,156,4,70.2,73.0,1
B-035,B,10.8,87.7,8,50.0,66.7,6,240,3,57.7,67.6,0
B-036,B,7.2,69.8,6,68.1,61.0,6,239,5,88.0,60.8,0
B-037,B,9.9,82.7,7,73.9,69.2,7,155,0,72.3,63.8,0
B-038,B,9.9,88.7,8,59.7,74.6,7,201,4,55.1,69.1,0
B-039,B,9.2,80.1,6,75.3,78.8,6,257,5,63.1,68.5,0
B-040,B,1.0,87.6,9,64.3,63.5,8,285,0,95.0,50.5,0
B-041,B,10.0,88.1,7,83.2,74.7,8,203,2,74.4,80.0,1
B-042,B,10.6,67.2,8,74.4,57.6,7,198,2,61.3,78.2,1
B-043,B,6.8,80.2,5,76.2,90.9,10,153,1,54.1,61.4,0
B-044,B,10.5,84.8,10,78.0,70.9,7,123,3,57.2,69.6,0
B-045,B,11.6,76.6,7,71.3,65.7,5,274,1,71.3,71.7,1
B-046,B,2.4,69.7,5,92.2,84.3,7,224,3,81.5,44.8,0
B-047,B,11.9,92.5,5,60.0,77.5,8,189,3,79.3,68.3,0
B-048,B,7.4,82.7,6,63.4,65.9,7,293,0,74.4,58.5,0
B-049,B,5.4,75.9,7,72.6,95.9,8,269,1,76.1,66.5,0
B-050,B,9.4,73.4,3,74.9,68.1,6,90,2,74.6,65.0,0
B-051,B,6.4,80.2,5,57.4,82.0,7,46,4,72.0,60.3,0
B-052,B,7.4,90.1,9,85.1,71.1,7,212,2,80.6,75.5,1
B-053,B,5.7,76.7,9,70.9,85.7,8,166,2,69.2,60.8,0
B-054,B,6.7,84.7,5,81.1,85.8,6,269,0,78.9,58.7,0
B-055,B,5.0,83.1,7,66.5,69.9,6,121,6,47.0,59.0,0
