id_estudiante,seccion,horas_estudio_semana,asistencia_pct,tareas_entregadas,promedio_quices,nota_proyecto,participacion_clase,uso_plataforma_min_semana,tutorias_asistidas,promedio_prev,nota_final,aprobado
C-001,C,10.8,82.8,6,76.7,64.6,8,226,3,53.2,69.8,0
C-002,C,3.7,83.0,7,70.8,66.4,7,249,4,74.5,52.8,0
C-003,C,9.4,63.3,3,58.3,83.9,6,134,6,60.4,70.5,1
C-004,C,3.9,81.3,7,76.8,72.0,10,185,2,62.2,63.7,0
C-005,C,10.7,75.4,9,84.3,77.1,7,158,2,76.9,68.5,0
C-006,C,2.8,71.0,8,68.3,94.7,8,105,5,65.8,69.2,0
C-007,C,5.4,85.2,4,68.0,82.5,7,140,3,77.3,53.4,0
C-008,C,5.7,81.2,10,66.3,82.5,8,345,2,63.6,58.8,0
C-009,C,1.2,83.7,8,72.8,80.9,6,210,3,70.9,49.7,0
C-010,C,10.1,74.8,7,75.8,72.9,8,236,4,74.1,80.1,1
C-011,C,2.8,93.6,7,84.5,86.5,7,199,2,79.3,62.8,0
C-012,C,3.6,83.2,8,70.6,80.7,9,198,2,77.0,59.6,0
C-013,C,5.8,74.2,7,76.8,100.0,4,138,4,66.1,61.5,0
C-014,C,9.7,94.5,7,62.3,86.2,9,222,4,66.6,80.8,1
C-015,C,5.1,72.3,8,86.0,60.5,8,131,2,78.8,58.4,0
C-016,C,13.5,91.3,5,74.6,75.1,5,217,3,80.0,78.7,1
C-017,C,7.4,76.7,8,57.9,68.9,8,93,5,79.5,67.8,0
C-018,C,6.6,74.1,5,63.2,95.0,7,134,1,56.1,57.0,0
C-019,C,8.8,73.1,8,72.3,77.4,8,161,2,54.6,70.5,1
C-020,C,7.1,70.8,9,88.1,64.9,7,221,5,70.8,70.6,1
C-021,C,4.3,71.5,8,75.2,74.8,7,110,5,59.5,63.5,0
C-022,C,5.9,81.9,8,93.7,90.3,7,199,6,65.4,72.2,1
C-023,C,8.0,78.2,6,80.0,87.6,7,216,4,70.6,62.9,0
C-024,C,12.2,65.8,6,64.3,80.4,6,240,4,67.0,69.0,0
C-025,C,8.3,80.6,9,65.6,80.4,8,196,4,71.4,74.6,1
C-026,C,8.9,66.9,7,95.0,64.4,8,199,1,85.9,81.0,1
C-027,C,1.0,83.0,5,65.6,74.0,9,180,2,59.0,47.9,0
C-028,C,6.7,75.2,6,64.9,76.4,7,101,4,70.9,67.5,0
C-029,C,7.4,77.1,6,63.7,68.7,7,216,4,63.0,60.0,0
C-030,C,12.8,88.5,8,58.7,80.1,8,150,5,66.1,83.2,1
C-031,C,12.3,62.4,8,83.6,65.6,8,196,4,58.9,80.7,1
C-032,C,7.9,96.9,10,85.4,88.6,7,293,3,73.9,79.3,1
